Detection ID,Latest Commit ID,PMD Version,Rule Name,File Path,Violation Introducing Commit ID,VIC Date,VIC Line Num.,Latest Detection Commit ID,LDC ID Date,LDC Line Num.,Violation Fixed Commit ID,VFC Date,VFC Line Num.,Fixed Period(day),Original Code,Fixed Code,Really Fixed?
1,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/io/BigQueryIO.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,508,c3c9e6a65a2ba645e7dfdbfc8d335e4090c910d7,1434562519,520,,,,,"        this.table = null;",,
2,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/io/BigQueryIO.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,509,c3c9e6a65a2ba645e7dfdbfc8d335e4090c910d7,1434562519,521,,,,,"        this.schema = null;",,
3,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/DataflowPipelineTranslator.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,515,ca4523e65631e65d6043615cea81e151a0097d80,1452880788,570,,,,,"            name = null;",,
4,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/DataflowPipelineTranslator.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,585,ca4523e65631e65d6043615cea81e151a0097d80,1452880788,640,,,,,"        coder = null;",,
5,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/DataflowPipelineTranslator.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,602,ca4523e65631e65d6043615cea81e151a0097d80,1452880788,657,,,,,"        coder = null;",,
6,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/worker/BigQuerySource.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,55,44c39792718cec7a4c07008dc51f0355af336cc7,1420841272,51,,,,,"    this.bigQueryClient = null;",,
7,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/worker/BigQuerySource.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,60,44c39792718cec7a4c07008dc51f0355af336cc7,1420841272,56,,,,,"    this.bigQueryOptions = null;",,
8,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/worker/DataflowWorkProgressUpdater.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,90,7c27fb60aaa97061dacc4d33ad8db65066a73db5,1420841272,85,f42c13c8b917f1228f78ec16b63dcc14b7e83bac,1423613312,-1,1423613312/1418502010,"      stopPositionToService = null;","   @Override
   protected void reportProgressHelper() throws Exception {
     WorkItemStatus status = buildStatus(workItem, false/*completed*/, worker.getOutputCounters(),
-        worker.getOutputMetrics(), options, worker.getWorkerProgress(), stopPositionToService,
+        worker.getOutputMetrics(), options, worker.getWorkerProgress(), forkResultToReport,
         null/*sourceOperationResponse*/, null/*errors*/);
     status.setRequestedLeaseDuration(toCloudDuration(Duration.millis(requestedLeaseDurationMs)));
 
     WorkItemServiceState result = workUnitClient.reportWorkItemStatus(status);
     if (result != null) {
       // Resets state after a successful progress report.
-      stopPositionToService = null;
+      forkResultToReport = null;
 
       progressReportIntervalMs = nextProgressReportInterval(
           fromCloudDuration(workItem.getReportStatusInterval()).getMillis(),
           leaseRemainingTime(getLeaseExpirationTimestamp(result)));
 
       ApproximateProgress suggestedStopPoint = result.getSuggestedStopPoint();
-      if (suggestedStopPoint == null && result.getSuggestedStopPosition() != null) {
-        suggestedStopPoint =
-            new ApproximateProgress().setPosition(result.getSuggestedStopPosition());
-      }
-
       if (suggestedStopPoint != null) {
-        LOG.info(""Proposing stop progress on work unit {} at proposed stopping point {}"",
-            workString(), suggestedStopPoint);
-        stopPositionToService =
-            worker.proposeStopPosition(cloudProgressToReaderProgress(suggestedStopPoint));
+        LOG.info(""Proposing fork of work unit {} at {}"", workString(), suggestedStopPoint);
+        forkResultToReport = worker.requestFork(toForkRequest(suggestedStopPoint));
       }
     }
   }
",
9,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/worker/FileBasedSource.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,254,1aca9d28f08fa4a65709a22048361df68133d446,1418684410,254,,,,,"        nextElement = null;",,
10,407b014a9d94c0356b347efe4f34299fedcc2dc8,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/beam/sdk/src/main/java/com/google/cloud/dataflow/sdk/runners/worker/GroupingShuffleSource.java,ec739e8bac4ac2b21fe9e3e16f9900cc0a4e26e1,1418502010,208,d255b28d7a50f09f5cae09b516d8317456b9adab,1420841271,210,,,,,"      nextGroup = null;",,
