Detection ID,Latest Commit ID,PMD Version,Rule Name,File Path,Violation Introducing Commit ID,VIC Date,VIC Line Num.,Latest Detection Commit ID,LDC ID Date,LDC Line Num.,Violation Fixed Commit ID,VFC Date,VFC Line Num.,Fixed Period(day),Original Code,Fixed Code,Really Fixed?,Time
1,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-core/src/main/java/org/apache/camel/queue/QueueEndpoint.java,4c88aa6af568b5c0594e80e089cbd08a12aa7d8f,1174369464,113,160d9af7be83c6de8791c86dac799a1f4a055a09,1174400518,114,,,,,"			activation=null;",,,712
2,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-core/src/main/java/org/apache/camel/component/queue/QueueEndpoint.java,3f90f9286e6d5eb4d344334c9690e3790a4fb544,1174499627,114,c210132b9219522267adbc0142957ee5a76aeb67,1174912309,114,,,,,"			activation=null;",,,712
3,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-core/src/main/java/org/apache/camel/builder/xpath/XPathBuilder.java,95ceac0508209134eb6b9d6141c5bdce145e490b,1174652140,276,17a673f2694805db8f00fe518ce12585dd982829,1177408482,285,,,,,"        xpathFactory = null;",,,712
4,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-core/src/main/java/org/apache/camel/processor/SendProcessor.java,85d7a943d131caba64f097163f59759be101ba5c,1174987852,44,90f0194d184a435b766508a5a298c3dc12414382,1183391396,47,,,,,"                producer = null;",,,712
5,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java,39d9e677eccdf11102e276834eec9a9ba4e52196,1175006808,112,,,,,,,,"        destMessage = null;",,,712
6,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java,39d9e677eccdf11102e276834eec9a9ba4e52196,1175006808,113,,,,,,,,"        inMessage = null;",,,712
7,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java,39d9e677eccdf11102e276834eec9a9ba4e52196,1175006808,205,,,,,,,,"        inMessage = null;",,,712
8,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java,39d9e677eccdf11102e276834eec9a9ba4e52196,1175006808,256,,,,,,,,"        inMessage = null;",,,712
9,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-core/src/main/java/org/apache/camel/util/URISupport.java,bc318a8cb3d8c7ef73b21170e000537e01824cee,1175029430,281,56a2b66a5580f3c427fa436fba6f4a1eef5dac35,1175622401,280,32a32c0725707e193039aa9f73f1eb9080cfd526,1181672413,-1,1181672413/1175029430,"            s = null;","-/**
- *
- * Licensed to the Apache Software Foundation (ASF) under one or more
- * contributor license agreements.  See the NOTICE file distributed with
- * this work for additional information regarding copyright ownership.
- * The ASF licenses this file to You under the Apache License, Version 2.0
- * (the ""License""); you may not use this file except in compliance with
- * the License.  You may obtain a copy of the License at
- *
- * http://www.apache.org/licenses/LICENSE-2.0
- *
- * Unless required by applicable law or agreed to in writing, software
- * distributed under the License is distributed on an ""AS IS"" BASIS,
- * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
- * See the License for the specific language governing permissions and
- * limitations under the License.
- */
-package org.apache.camel.util;
-
-import java.io.UnsupportedEncodingException;
-import java.net.URI;
-import java.net.URISyntaxException;
-import java.net.URLDecoder;
-import java.net.URLEncoder;
-import java.util.ArrayList;
-import java.util.Collections;
-import java.util.HashMap;
-import java.util.Iterator;
-import java.util.Map;
-
-/**
- * @version $Revision$
- */
-public class URISupport {
-    public static class CompositeData {
-        String scheme;
-        String path;
-        URI components[];
-        Map parameters;
-        String fragment;
-        public String host;
-
-        public URI[] getComponents() {
-            return components;
-        }
-
-        public String getFragment() {
-            return fragment;
-        }
-
-        public Map getParameters() {
-            return parameters;
-        }
-
-        public String getScheme() {
-            return scheme;
-        }
-
-        public String getPath() {
-            return path;
-        }
-
-        public String getHost() {
-            return host;
-        }
-
-        public URI toURI() throws URISyntaxException {
-            StringBuffer sb = new StringBuffer();
-            if (scheme != null) {
-                sb.append(scheme);
-                sb.append(':');
-            }
-
-            if (host != null && host.length() != 0) {
-                sb.append(host);
-            }
-            else {
-                sb.append('(');
-                for (int i = 0; i < components.length; i++) {
-                    if (i != 0) {
-                        sb.append(',');
-                    }
-                    sb.append(components[i].toString());
-                }
-                sb.append(')');
-            }
-
-            if (path != null) {
-                sb.append('/');
-                sb.append(path);
-            }
-            if (!parameters.isEmpty()) {
-                sb.append(""?"");
-                sb.append(createQueryString(parameters));
-            }
-            if (fragment != null) {
-                sb.append(""#"");
-                sb.append(fragment);
-            }
-            return new URI(sb.toString());
-        }
-    }
-
-    public static Map parseQuery(String uri) throws URISyntaxException {
-        try {
-            Map rc = new HashMap();
-            if (uri != null) {
-                String[] parameters = uri.split(""&"");
-                for (int i = 0; i < parameters.length; i++) {
-                    int p = parameters[i].indexOf(""="");
-                    if (p >= 0) {
-                        String name = URLDecoder.decode(parameters[i].substring(0, p), ""UTF-8"");
-                        String value = URLDecoder.decode(parameters[i].substring(p + 1), ""UTF-8"");
-                        rc.put(name, value);
-                    }
-                    else {
-                        rc.put(parameters[i], null);
-                    }
-                }
-            }
-            return rc;
-        }
-        catch (UnsupportedEncodingException e) {
-            throw (URISyntaxException) new URISyntaxException(e.toString(), ""Invalid encoding"").initCause(e);
-        }
-    }
-
-    public static Map parseParamters(URI uri) throws URISyntaxException {
-        String query = uri.getQuery();
-        if (query == null) {
-            String schemeSpecificPart = uri.getSchemeSpecificPart();
-            int idx = schemeSpecificPart.lastIndexOf('?');
-            if (idx < 0) {
-                return Collections.EMPTY_MAP;
-            }
-            else {
-                query = schemeSpecificPart.substring(idx + 1);
-            }
-        }
-        else {
-            query = stripPrefix(query, ""?"");
-        }
-        return parseQuery(query);
-    }
-
-    /**
-     * Removes any URI query from the given uri
-     */
-    public static URI removeQuery(URI uri) throws URISyntaxException {
-        return createURIWithQuery(uri, null);
-    }
-
-    /**
-     * Creates a URI with the given query
-     */
-    public static URI createURIWithQuery(URI uri, String query) throws URISyntaxException {
-        return new URI(uri.getScheme(), uri.getUserInfo(), uri.getHost(), uri.getPort(), uri.getPath(), query, uri.getFragment());
-    }
-
-    public static CompositeData parseComposite(URI uri) throws URISyntaxException {
-
-        CompositeData rc = new CompositeData();
-        rc.scheme = uri.getScheme();
-        String ssp = stripPrefix(uri.getSchemeSpecificPart().trim(), ""//"").trim();
-
-        parseComposite(uri, rc, ssp);
-
-        rc.fragment = uri.getFragment();
-        return rc;
-    }
-
-    /**
-     * @param uri
-     * @param rc
-     * @param ssp
-     * @throws URISyntaxException
-     */
-    private static void parseComposite(URI uri, CompositeData rc, String ssp) throws URISyntaxException {
-        String componentString;
-        String params;
-
-        if (!checkParenthesis(ssp)) {
-            throw new URISyntaxException(uri.toString(), ""Not a matching number of '(' and ')' parenthesis"");
-        }
-
-        int p;
-        int intialParen = ssp.indexOf(""("");
-        if (intialParen == 0) {
-            rc.host = ssp.substring(0, intialParen);
-            p = rc.host.indexOf(""/"");
-            if (p >= 0) {
-                rc.path = rc.host.substring(p);
-                rc.host = rc.host.substring(0, p);
-            }
-            p = ssp.lastIndexOf("")"");
-            componentString = ssp.substring(intialParen + 1, p);
-            params = ssp.substring(p + 1).trim();
-        }
-        else {
-            componentString = ssp;
-            params = """";
-        }
-
-        String components[] = splitComponents(componentString);
-        rc.components = new URI[components.length];
-        for (int i = 0; i < components.length; i++) {
-            rc.components[i] = new URI(components[i].trim());
-        }
-
-        p = params.indexOf(""?"");
-        if (p >= 0) {
-            if (p > 0) {
-                rc.path = stripPrefix(params.substring(0, p), ""/"");
-            }
-            rc.parameters = parseQuery(params.substring(p + 1));
-        }
-        else {
-            if (params.length() > 0) {
-                rc.path = stripPrefix(params, ""/"");
-            }
-            rc.parameters = Collections.EMPTY_MAP;
-        }
-    }
-
-    /**
-     * @param str
-     * @return
-     */
-    private static String[] splitComponents(String str) {
-        ArrayList l = new ArrayList();
-
-        int last = 0;
-        int depth = 0;
-        char chars[] = str.toCharArray();
-        for (int i = 0; i < chars.length; i++) {
-            switch (chars[i]) {
-                case '(':
-                    depth++;
-                    break;
-                case ')':
-                    depth--;
-                    break;
-                case ',':
-                    if (depth == 0) {
-                        String s = str.substring(last, i);
-                        l.add(s);
-                        last = i + 1;
-                    }
-            }
-        }
-
-        String s = str.substring(last);
-        if (s.length() != 0) {
-            l.add(s);
-        }
-
-        String rc[] = new String[l.size()];
-        l.toArray(rc);
-        return rc;
-    }
-
-    public static String stripPrefix(String value, String prefix) {
-        if (value.startsWith(prefix)) {
-            return value.substring(prefix.length());
-        }
-        return value;
-    }
-
-    public static URI stripScheme(URI uri) throws URISyntaxException {
-        return new URI(stripPrefix(uri.getSchemeSpecificPart().trim(), ""//""));
-    }
-
-    public static String createQueryString(Map options) throws URISyntaxException {
-        try {
-            if (options.size() > 0) {
-                StringBuffer rc = new StringBuffer();
-                boolean first = true;
-                for (Iterator iter = options.keySet().iterator(); iter.hasNext();) {
-                    if (first) {
-                        first = false;
-                    }
-                    else {
-                        rc.append(""&"");
-                    }
-
-                    String key = (String) iter.next();
-                    String value = (String) options.get(key);
-                    rc.append(URLEncoder.encode(key, ""UTF-8""));
-                    rc.append(""="");
-                    rc.append(URLEncoder.encode(value, ""UTF-8""));
-                }
-                return rc.toString();
-            }
-            else {
-                return """";
-            }
-        }
-        catch (UnsupportedEncodingException e) {
-            throw (URISyntaxException) new URISyntaxException(e.toString(), ""Invalid encoding"").initCause(e);
-        }
-    }
-
-    /**
-     * Creates a URI from the original URI and the remaining paramaters
-     *
-     * @throws URISyntaxException
-     */
-    public static URI createRemainingURI(URI originalURI, Map params) throws URISyntaxException {
-        String s = createQueryString(params);
-        if (s.length() == 0) {
-            s = null;
-        }
-        return createURIWithQuery(originalURI, s);
-    }
-
-    static public URI changeScheme(URI bindAddr, String scheme) throws URISyntaxException {
-        return new URI(scheme, bindAddr.getUserInfo(), bindAddr.getHost(), bindAddr.getPort(), bindAddr.getPath(), bindAddr.getQuery(), bindAddr.getFragment());
-    }
-
-    public static boolean checkParenthesis(String str) {
-        boolean result = true;
-        if (str != null) {
-            int open = 0;
-            int closed = 0;
-
-            int i = 0;
-            while ((i = str.indexOf('(', i)) >= 0) {
-                i++;
-                open++;
-            }
-            i = 0;
-            while ((i = str.indexOf(')', i)) >= 0) {
-                i++;
-                closed++;
-            }
-            result = open == closed;
-        }
-        return result;
-    }
-
-    public int indexOfParenthesisMatch(String str) {
-        int result = -1;
-
-        return result;
-    }
-}
+/**
+ *
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements.  See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License.  You may obtain a copy of the License at
+ *
+ * http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.camel.util;
+
+import java.io.UnsupportedEncodingException;
+import java.net.URI;
+import java.net.URISyntaxException;
+import java.net.URLDecoder;
+import java.net.URLEncoder;
+import java.util.ArrayList;
+import java.util.Collections;
+import java.util.HashMap;
+import java.util.Iterator;
+import java.util.Map;
+
+/**
+ * @version $Revision$
+ */
+public class URISupport {
+    public static class CompositeData {
+        String scheme;
+        String path;
+        URI components[];
+        Map parameters;
+        String fragment;
+        public String host;
+
+        public URI[] getComponents() {
+            return components;
+        }
+
+        public String getFragment() {
+            return fragment;
+        }
+
+        public Map getParameters() {
+            return parameters;
+        }
+
+        public String getScheme() {
+            return scheme;
+        }
+
+        public String getPath() {
+            return path;
+        }
+
+        public String getHost() {
+            return host;
+        }
+
+        public URI toURI() throws URISyntaxException {
+            StringBuffer sb = new StringBuffer();
+            if (scheme != null) {
+                sb.append(scheme);
+                sb.append(':');
+            }
+
+            if (host != null && host.length() != 0) {
+                sb.append(host);
+            }
+            else {
+                sb.append('(');
+                for (int i = 0; i < components.length; i++) {
+                    if (i != 0) {
+                        sb.append(',');
+                    }
+                    sb.append(components[i].toString());
+                }
+                sb.append(')');
+            }
+
+            if (path != null) {
+                sb.append('/');
+                sb.append(path);
+            }
+            if (!parameters.isEmpty()) {
+                sb.append(""?"");
+                sb.append(createQueryString(parameters));
+            }
+            if (fragment != null) {
+                sb.append(""#"");
+                sb.append(fragment);
+            }
+            return new URI(sb.toString());
+        }
+    }
+
+    public static Map parseQuery(String uri) throws URISyntaxException {
+        try {
+            Map rc = new HashMap();
+            if (uri != null) {
+                String[] parameters = uri.split(""&"");
+                for (int i = 0; i < parameters.length; i++) {
+                    int p = parameters[i].indexOf(""="");
+                    if (p >= 0) {
+                        String name = URLDecoder.decode(parameters[i].substring(0, p), ""UTF-8"");
+                        String value = URLDecoder.decode(parameters[i].substring(p + 1), ""UTF-8"");
+                        rc.put(name, value);
+                    }
+                    else {
+                        rc.put(parameters[i], null);
+                    }
+                }
+            }
+            return rc;
+        }
+        catch (UnsupportedEncodingException e) {
+            throw (URISyntaxException) new URISyntaxException(e.toString(), ""Invalid encoding"").initCause(e);
+        }
+    }
+
+    public static Map parseParamters(URI uri) throws URISyntaxException {
+        String query = uri.getQuery();
+        if (query == null) {
+            String schemeSpecificPart = uri.getSchemeSpecificPart();
+            int idx = schemeSpecificPart.lastIndexOf('?');
+            if (idx < 0) {
+                return Collections.EMPTY_MAP;
+            }
+            else {
+                query = schemeSpecificPart.substring(idx + 1);
+            }
+        }
+        else {
+            query = stripPrefix(query, ""?"");
+        }
+        return parseQuery(query);
+    }
+
+    /**
+     * Removes any URI query from the given uri
+     */
+    public static URI removeQuery(URI uri) throws URISyntaxException {
+        return createURIWithQuery(uri, null);
+    }
+
+    /**
+     * Creates a URI with the given query
+     */
+    public static URI createURIWithQuery(URI uri, String query) throws URISyntaxException {
+        return new URI(uri.getScheme(), uri.getUserInfo(), uri.getHost(), uri.getPort(), uri.getPath(), query, uri.getFragment());
+    }
+
+    public static CompositeData parseComposite(URI uri) throws URISyntaxException {
+
+        CompositeData rc = new CompositeData();
+        rc.scheme = uri.getScheme();
+        String ssp = stripPrefix(uri.getSchemeSpecificPart().trim(), ""//"").trim();
+
+        parseComposite(uri, rc, ssp);
+
+        rc.fragment = uri.getFragment();
+        return rc;
+    }
+
+    /**
+     * @param uri
+     * @param rc
+     * @param ssp
+     * @throws URISyntaxException
+     */
+    private static void parseComposite(URI uri, CompositeData rc, String ssp) throws URISyntaxException {
+        String componentString;
+        String params;
+
+        if (!checkParenthesis(ssp)) {
+            throw new URISyntaxException(uri.toString(), ""Not a matching number of '(' and ')' parenthesis"");
+        }
+
+        int p;
+        int intialParen = ssp.indexOf(""("");
+        if (intialParen == 0) {
+            rc.host = ssp.substring(0, intialParen);
+            p = rc.host.indexOf(""/"");
+            if (p >= 0) {
+                rc.path = rc.host.substring(p);
+                rc.host = rc.host.substring(0, p);
+            }
+            p = ssp.lastIndexOf("")"");
+            componentString = ssp.substring(intialParen + 1, p);
+            params = ssp.substring(p + 1).trim();
+        }
+        else {
+            componentString = ssp;
+            params = """";
+        }
+
+        String components[] = splitComponents(componentString);
+        rc.components = new URI[components.length];
+        for (int i = 0; i < components.length; i++) {
+            rc.components[i] = new URI(components[i].trim());
+        }
+
+        p = params.indexOf(""?"");
+        if (p >= 0) {
+            if (p > 0) {
+                rc.path = stripPrefix(params.substring(0, p), ""/"");
+            }
+            rc.parameters = parseQuery(params.substring(p + 1));
+        }
+        else {
+            if (params.length() > 0) {
+                rc.path = stripPrefix(params, ""/"");
+            }
+            rc.parameters = Collections.EMPTY_MAP;
+        }
+    }
+
+    /**
+     * @param str
+     * @return
+     */
+    private static String[] splitComponents(String str) {
+        ArrayList l = new ArrayList();
+
+        int last = 0;
+        int depth = 0;
+        char chars[] = str.toCharArray();
+        for (int i = 0; i < chars.length; i++) {
+            switch (chars[i]) {
+                case '(':
+                    depth++;
+                    break;
+                case ')':
+                    depth--;
+                    break;
+                case ',':
+                    if (depth == 0) {
+                        String s = str.substring(last, i);
+                        l.add(s);
+                        last = i + 1;
+                    }
+            }
+        }
+
+        String s = str.substring(last);
+        if (s.length() != 0) {
+            l.add(s);
+        }
+
+        String rc[] = new String[l.size()];
+        l.toArray(rc);
+        return rc;
+    }
+
+    public static String stripPrefix(String value, String prefix) {
+        if (value.startsWith(prefix)) {
+            return value.substring(prefix.length());
+        }
+        return value;
+    }
+
+    public static URI stripScheme(URI uri) throws URISyntaxException {
+        return new URI(stripPrefix(uri.getSchemeSpecificPart().trim(), ""//""));
+    }
+
+    public static String createQueryString(Map options) throws URISyntaxException {
+        try {
+            if (options.size() > 0) {
+                StringBuffer rc = new StringBuffer();
+                boolean first = true;
+                for (Iterator iter = options.keySet().iterator(); iter.hasNext();) {
+                    if (first) {
+                        first = false;
+                    }
+                    else {
+                        rc.append(""&"");
+                    }
+
+                    String key = (String) iter.next();
+                    String value = (String) options.get(key);
+                    rc.append(URLEncoder.encode(key, ""UTF-8""));
+                    rc.append(""="");
+                    rc.append(URLEncoder.encode(value, ""UTF-8""));
+                }
+                return rc.toString();
+            }
+            else {
+                return """";
+            }
+        }
+        catch (UnsupportedEncodingException e) {
+            throw (URISyntaxException) new URISyntaxException(e.toString(), ""Invalid encoding"").initCause(e);
+        }
+    }
+
+    /**
+     * Creates a URI from the original URI and the remaining paramaters
+     *
+     * @throws URISyntaxException
+     */
+    public static URI createRemainingURI(URI originalURI, Map params) throws URISyntaxException {
+        String s = createQueryString(params);
+        if (s.length() == 0) {
+            s = null;
+        }
+        return createURIWithQuery(originalURI, s);
+    }
+
+    static public URI changeScheme(URI bindAddr, String scheme) throws URISyntaxException {
+        return new URI(scheme, bindAddr.getUserInfo(), bindAddr.getHost(), bindAddr.getPort(), bindAddr.getPath(), bindAddr.getQuery(), bindAddr.getFragment());
+    }
+
+    public static boolean checkParenthesis(String str) {
+        boolean result = true;
+        if (str != null) {
+            int open = 0;
+            int closed = 0;
+
+            int i = 0;
+            while ((i = str.indexOf('(', i)) >= 0) {
+                i++;
+                open++;
+            }
+            i = 0;
+            while ((i = str.indexOf(')', i)) >= 0) {
+                i++;
+                closed++;
+            }
+            result = open == closed;
+        }
+        return result;
+    }
+
+    public int indexOfParenthesisMatch(String str) {
+        int result = -1;
+
+        return result;
+    }
+}
",,712
10,c5fbdd0c0492c75ef98bb9c5fdb50da43e90b2d6d101fcd511a8695ad0ec0ada36f1584327c85b23,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/camel-spring-boot/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppGroupChatProducer.java,f5b93e1462dc2e3790b8cddc8c608bb0047f185a,1175250128,83,a6cbe8419351fcd8d26f1660dd4b112a7cd64e0b,1178036617,76,,,,,"            chat = null;",,,712
