Detection ID,Latest Commit ID,PMD Version,Rule Name,File Path,Violation Introducing Commit ID,VIC Date,VIC Line Num.,Latest Detection Commit ID,LDC ID Date,LDC Line Num.,Violation Fixed Commit ID,VFC Date,VFC Line Num.,Fixed Period(day),Original Code,Fixed Code,Really Fixed?,Time
3382,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,fdf8224104342fb6d047b13f9ced200229d4705e,1471408338,148,be6432ebf1fe40c5ae0b4778f587ba352e32e65e,1471408338,173,,,,,"      leaderState = null;",,,8558
3383,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,fdf8224104342fb6d047b13f9ced200229d4705e,1471408338,160,be6432ebf1fe40c5ae0b4778f587ba352e32e65e,1471408338,188,,,,,"    electionDaemon = null;",,,8558
3384,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,fdf8224104342fb6d047b13f9ced200229d4705e,1471408338,169,be6432ebf1fe40c5ae0b4778f587ba352e32e65e,1471408338,197,,,,,"    heartbeatMonitorDaemon = null;",,,8558
3385,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/ServerState.java,fdf8224104342fb6d047b13f9ced200229d4705e,1471408338,53,bb671d1117d45b365606bcb85706d06c9057da4e,1471408388,74,18d3f645cd228c1132df48751d6550a2889dda8f,1471408392,-1,1471408392/1471408338,"    votedFor = null;","   /** Index of highest log entry applied to state machine */
   private long lastApplied;
 
-  ServerState(String id, RaftConfiguration conf) {
+  ServerState(String id, RaftConfiguration conf, RaftProperties prop)
+      throws IOException {
     this.selfId = id;
     configurationManager = new ConfigurationManager(conf);
-    // TODO load log/currentTerm/votedFor from persistent storage
-    log = new MemoryRaftLog(id);
-    currentTerm = 0;
-    votedFor = null;
     leaderId = null;
-    loadConfFromLog();
+
+    log = initLog(id, prop);
+    RaftLog.Metadata metadata = log.loadMetadata();
+    currentTerm = metadata.getTerm();
+    votedFor = metadata.getVotedFor();
   }
 
-  private ServerState(String id, RaftConfiguration conf, MemoryRaftLog newLog) {
-    this.selfId = id;
-    this.configurationManager = new ConfigurationManager(conf);
-    currentTerm = 0;
-    votedFor = null;
-    leaderId = null;
-    log = newLog;
-  }
-
-  private void loadConfFromLog() {
-    // TODO apply raftlog and update its RaftConfiguration
+  private RaftLog initLog(String id, RaftProperties prop)
+      throws IOException {
+    if (prop.getBoolean(RAFT_SERVER_USE_MEMORY_LOG_KEY,
+        RAFT_SERVER_USE_MEMORY_LOG_DEFAULT)) {
+      return new MemoryRaftLog(id);
+    } else {
+      return new SegmentedRaftLog(id, prop, configurationManager);
+    }
   }
 
   public RaftConfiguration getRaftConf() {
",,8558
3386,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/ServerState.java,fdf8224104342fb6d047b13f9ced200229d4705e,1471408338,54,d9e70b26990c6b99d4565edf0d2ab3a9aba4e090,1471408446,80,1eed4744c68860907db9ff3feab93a7ca825e1e9,1471408444,-1,1471408444/1471408338,"    leaderId = null;","    */
   private String votedFor;
 
-  /** Index of highest log entry applied to state machine */
-  private long lastApplied;
-
-  ServerState(String id, RaftConfiguration conf, RaftProperties prop)
-      throws IOException {
+  ServerState(String id, RaftConfiguration conf, RaftProperties prop,
+      StateMachine stateMachine) throws IOException {
     this.selfId = id;
     configurationManager = new ConfigurationManager(conf);
-    leaderId = null;
+    storage = new RaftStorage(prop, RaftConstants.StartupOption.REGULAR);
+    long lastApplied = initStatemachine(stateMachine, prop);
 
+    leaderId = null;
     log = initLog(id, prop);
     RaftLog.Metadata metadata = log.loadMetadata();
     currentTerm = metadata.getTerm();
     votedFor = metadata.getVotedFor();
+
+    stateMachineUpdater = new StateMachineUpdater(stateMachine, log, storage,
+        lastApplied, prop);
   }
 
+  private long initStatemachine(StateMachine sm, RaftProperties properties)
+      throws IOException {
+    sm.initialize(properties, storage);
+    RaftStorageDirectory.PathAndIndex pi = storage.getLastestSnapshotPath();
+    if (pi == null || pi.endIndex < 0) {
+      return RaftConstants.INVALID_LOG_INDEX;
+    }
+    return sm.loadSnapshot(pi.path.toFile());
+  }
+
+  void start() {
+    stateMachineUpdater.start();
+  }
+
+  /**
+   * note we do not apply log entries to the state machine here since we do not
+   * know whether they have been committed.
+   */
   private RaftLog initLog(String id, RaftProperties prop)
       throws IOException {
     if (prop.getBoolean(RAFT_SERVER_USE_MEMORY_LOG_KEY,
         RAFT_SERVER_USE_MEMORY_LOG_DEFAULT)) {
       return new MemoryRaftLog(id);
     } else {
-      return new SegmentedRaftLog(id, prop, configurationManager);
+      return new SegmentedRaftLog(id, this.storage, configurationManager);
     }
   }
 
",,8558
3387,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,2b7c5c94754f8e80bb44fb2a8c1d0a9740d54310,1471408339,206,5c32b40a466db43cd51efeddc38315f603e9b340,1471408340,194,29bdd1e6e31bf69eab39e880e7e1a5b4f1d25d85,1471408340,-1,1471408340/1471408339,"      leaderState = null;","     }
     if (isLeader()) {
       assert leaderState != null;
-      leaderState.stop();
-      leaderState = null;
+      shutdownLeaderState();
       // TODO: handle pending requests: we can send back
       // NotLeaderException and let the client retry
     } else if (isCandidate()) {
",,8558
3388,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,2b7c5c94754f8e80bb44fb2a8c1d0a9740d54310,1471408339,227,d9e70b26990c6b99d4565edf0d2ab3a9aba4e090,1471408446,267,,,,,"    electionDaemon = null;",,,8558
3389,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,2b7c5c94754f8e80bb44fb2a8c1d0a9740d54310,1471408339,249,e3c885618f8b703197e129f291444049f1f60121,1471408343,266,,,,,"    heartbeatMonitor = null;",,,8558
3390,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/ServerState.java,2b7c5c94754f8e80bb44fb2a8c1d0a9740d54310,1471408339,75,bb671d1117d45b365606bcb85706d06c9057da4e,1471408388,126,,,,,"    leaderId = null;",,,8558
3391,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/incubator-ratis/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/ServerState.java,2b7c5c94754f8e80bb44fb2a8c1d0a9740d54310,1471408339,85,e3c885618f8b703197e129f291444049f1f60121,1471408343,104,,,,,"    leaderId = null;",,,8558
